TEAM;NO;NAME;POS;AGE;HEIGHT;WEIGHT;COLLEGE;SALARY
Phoenix Suns;35;Dragan Bender;PF;20;7-1;225;;4,468,800
Phoenix Suns;1;Devin Booker;SG;21;6-6;210;Kentucky;2,319,360
Phoenix Suns;4;Tyson Chandler;C;35;7-1;240;;13,000,000
Phoenix Suns;0;Marquese Chriss;PF;20;6-10;240;Washington;3,073,800
Phoenix Suns;30;Troy Daniels;SG;26;6-4;205;Virginia Commonwealth;3,408,520
Phoenix Suns;3;Jared Dudley;SF;32;6-7;240;Boston College;10,000,000
Phoenix Suns;10;Shaquille Harrison;PG;24;6-4;190;Tulsa;175,000
Phoenix Suns;23;Danuel House Jr.;SF;24;6-7;220;"Texas A&M;";
Phoenix Suns;20;Josh Jackson;SG;21;6-8;200;Kansas;5,090,040
Phoenix Suns;11;Brandon Knight;PG;26;6-3;195;Kentucky;13,618,750
Phoenix Suns;21;Alex Len;C;24;7-1;250;Maryland;4,187,599
Phoenix Suns;2;Elfrid Payton;PG;24;6-4;185;Louisiana-Lafayette;3,332,340
Phoenix Suns;25;Alec Peters;PF;23;6-9;235;Valparaiso;
Phoenix Suns;32;Davon Reed;SG;22;6-6;210;Miami (FL);815,615
Phoenix Suns;8;Tyler Ulis;PG;22;5-10;160;Kentucky;1,312,611
Phoenix Suns;12;TJ Warren;SF;24;6-8;215;North Carolina State;3,152,931
Phoenix Suns;15;Alan Williams;PF;25;6-8;265;UC Santa Barbara;6,000,000
Sacramento Kings;8;Bogdan Bogdanovic;SG;25;6-6;205;;9,412,280
Sacramento Kings;22;Bruno Caboclo;SF;22;6-9;205;;2,451,225
Sacramento Kings;15;Vince Carter;SG;41;6-6;220;North Carolina;8,000,000
Sacramento Kings;00;Willie Cauley-Stein;C;24;7-0;240;Kentucky;3,704,160
Sacramento Kings;45;Jack Cooley;PF;27;6-10;274;Notre Dame;
Sacramento Kings;5;De'Aaron Fox;PG;20;6-3;175;Kentucky;4,609,200
Sacramento Kings;20;Harry Giles;PF;19;6-10;240;Duke;1,859,400
Sacramento Kings;40;Nigel Hayes;SF;23;6-7;254;Wisconsin;55,296
Sacramento Kings;24;Buddy Hield;SG;24;6-4;214;Oklahoma;3,675,480
Sacramento Kings;25;Justin Jackson;SF;23;6-8;210;North Carolina;2,365,560
Sacramento Kings;41;Kosta Koufos;C;29;7-0;265;Ohio State;8,393,000
Sacramento Kings;7;Skal Labissiere;PF;22;6-11;225;Kentucky;1,312,611
Sacramento Kings;10;Frank Mason III;PG;24;5-11;190;Kansas;1,184,385
Sacramento Kings;50;Zach Randolph;PF;36;6-9;250;Michigan State;12,307,692
Sacramento Kings;29;JaKarr Sampson;SF;25;6-9;207;St. John's;
Sacramento Kings;9;Iman Shumpert;SG;27;6-5;220;Georgia Tech;10,337,079
Sacramento Kings;17;Garrett Temple;SF;31;6-6;195;LSU;8,000,000
Chicago Bulls;15;Ryan Arcidiacono;PG;24;6-3;195;Villanova;
Chicago Bulls;3;Omer Asik;C;31;7-0;255;;10,595,505
Chicago Bulls;9;Antonio Blakeney;SG;21;6-4;197;LSU;
Chicago Bulls;32;Kris Dunn;PG;24;6-4;210;Providence;4,046,760
Chicago Bulls;31;Jarell Eddie;SG;26;6-7;218;Virginia Tech;57,672
Chicago Bulls;6;Cristiano Felicio;C;25;6-9;280;;7,833,500
Chicago Bulls;2;Jerian Grant;PG;25;6-4;198;Notre Dame;1,713,840
Chicago Bulls;7;Justin Holiday;SG;29;6-6;185;Washington;4,615,385
Chicago Bulls;0;Sean Kilpatrick;SG;28;6-4;212;Cincinnati;2,163,006
Chicago Bulls;8;Zach LaVine;PG;23;6-5;185;UCLA;3,202,218
Chicago Bulls;42;Robin Lopez;C;30;7-0;277;Stanford;13,788,500
Chicago Bulls;24;Lauri Markkanen;PF;20;7-0;230;Arizona;3,821,640
Chicago Bulls;11;David Nwaba;SF;25;6-4;209;Cal Poly;1,312,611
Chicago Bulls;22;Cameron Payne;PG;23;6-3;185;Murray State;2,203,440
Chicago Bulls;5;Bobby Portis;PF;23;6-11;248;Arkansas;1,516,320
Chicago Bulls;45;Denzel Valentine;SF;24;6-6;214;Michigan State;2,186,400
Chicago Bulls;30;Noah Vonleh;PF;22;6-9;245;Indiana;3,505,233
Chicago Bulls;16;Paul Zipser;SF;24;6-8;226;;1,312,611
Cleveland Cavaliers;81;Jose Calderon;PG;36;6-3;200;;1,471,382
Cleveland Cavaliers;8;Jordan Clarkson;PG;25;6-5;194;Missouri;11,562,500
Cleveland Cavaliers;32;Jeff Green;SF;31;6-9;235;Georgetown;1,471,382
Cleveland Cavaliers;3;George Hill;PG;31;6-3;188;IUPUI;20,000,000
Cleveland Cavaliers;1;Rodney Hood;SG;25;6-8;206;Duke;2,386,864
Cleveland Cavaliers;23;LeBron James;SF;33;6-8;250;;33,285,709
Cleveland Cavaliers;26;Kyle Korver;SG;37;6-7;212;Creighton;7,000,000
Cleveland Cavaliers;0;Kevin Love;C;29;6-10;251;UCLA;22,642,350
Cleveland Cavaliers;22;Larry Nance Jr.;PF;25;6-9;230;Wyoming;1,471,382
Cleveland Cavaliers;16;Cedi Osman;SF;23;6-8;215;;2,642,857
Cleveland Cavaliers;21;Kendrick Perkins;C;33;6-10;270;;
Cleveland Cavaliers;5;JR Smith;SG;32;6-6;225;;13,760,000
Cleveland Cavaliers;13;Tristan Thompson;C;27;6-9;238;Texas;16,400,000
Cleveland Cavaliers;9;Okaro White;PF;25;6-8;215;Florida State;37,049
Cleveland Cavaliers;41;Ante Zizic;PF;21;6-11;250;;1,645,200
Detroit Pistons;25;Reggie Bullock;SG;27;6-7;205;North Carolina;2,500,000
Detroit Pistons;20;Dwight Buycks;PG;29;6-3;190;Marquette;748,160
Detroit Pistons;0;Andre Drummond;C;24;6-11;279;Connecticut;23,775,506
Detroit Pistons;8;Henry Ellenson;PF;21;6-11;245;Marquette;1,780,800
Detroit Pistons;33;James Ennis III;SF;27;6-7;210;Long Beach State;3,028,410
Detroit Pistons;22;Kay Felder;PG;23;5-9;176;Oakland;
Detroit Pistons;9;Langston Galloway;SG;26;6-2;200;Saint Joseph's;6,666,667
Detroit Pistons;23;Blake Griffin;PF;29;6-10;251;Oklahoma;29,727,900
Detroit Pistons;38;Reggie Hearn;SG;26;6-5;210;Northwestern;
Detroit Pistons;1;Reggie Jackson;PG;28;6-3;208;Boston College;16,000,000
Detroit Pistons;7;Stanley Johnson;SF;21;6-7;245;Arizona;3,097,800
Detroit Pistons;5;Luke Kennard;SG;21;6-5;200;Duke;2,759,280
Detroit Pistons;30;Jon Leuer;PF;28;6-10;228;Wisconsin;10,497,319
Detroit Pistons;24;Eric Moreland;PF;26;6-10;238;Oregon State;1,739,333
Detroit Pistons;41;Jameer Nelson;PG;36;6-0;190;Saint Joseph's;1,429,818
Detroit Pistons;14;Ish Smith;PG;29;6-0;175;Wake Forest;6,000,000
Detroit Pistons;43;Anthony Tolliver;PF;32;6-8;240;Creighton;3,290,000
Indiana Pacers;13;Ike Anigbogu;C;19;6-10;262;UCLA;950,000
Indiana Pacers;44;Bojan Bogdanovic;SF;28;6-8;230;;10,500,000
Indiana Pacers;20;Trevor Booker;PF;30;6-8;228;Clemson;9,125,000
Indiana Pacers;2;Darren Collison;PG;30;6-2;185;UCLA;10,000,000
Indiana Pacers;25;Al Jefferson;C;33;6-10;280;;9,769,821
Indiana Pacers;6;Cory Joseph;PG;26;6-3;190;Texas;7,630,000
Indiana Pacers;22;T.J. Leaf;PF;20;6-10;230;UCLA;2,028,360
Indiana Pacers;26;Ben Moore;PF;22;6-8;220;SMU;
Indiana Pacers;4;Victor Oladipo;SG;25;6-4;210;Indiana;21,000,000
Indiana Pacers;0;Alex Poythress;SF;24;6-9;235;Kentucky;778,668
Indiana Pacers;40;Glenn Robinson III;SG;24;6-7;215;Michigan;1,524,305
Indiana Pacers;11;Domantas Sabonis;C;21;6-10;252;Gonzaga;2,550,000
Indiana Pacers;1;Lance Stephenson;SG;27;6-6;230;Cincinnati;4,180,000
Indiana Pacers;5;Edmond Sumner;PG;22;6-5;188;Xavier;
Indiana Pacers;33;Myles Turner;C;22;6-11;255;Texas;2,569,920
Indiana Pacers;3;Joe Young;PG;25;6-2;185;Oregon;1,471,382
Indiana Pacers;21;Thaddeus Young;PF;29;6-8;230;Georgia Tech;14,996,348
Milwaukee Bucks;34;Giannis Antetokounmpo;PF;23;6-11;222;;22,471,910
Milwaukee Bucks;6;Eric Bledsoe;PG;28;6-1;205;Kentucky;14,500,000
Milwaukee Bucks;13;Malcolm Brogdon;PG;25;6-5;215;Virginia;1,312,611
Milwaukee Bucks;23;Sterling Brown;SG;23;6-6;230;SMU;815,615
Milwaukee Bucks;8;Matthew Dellavedova;PG;27;6-4;198;Saint Mary's;9,607,500
Milwaukee Bucks;31;John Henson;C;27;6-11;229;North Carolina;11,422,536
Milwaukee Bucks;11;Brandon Jennings;PG;28;6-1;170;;83,129
Milwaukee Bucks;7;Thon Maker;C;21;7-1;223;;2,684,160
Milwaukee Bucks;22;Khris Middleton;SF;26;6-8;234;"Texas A&M;";14,100,000
Milwaukee Bucks;15;Shabazz Muhammad;SG;25;6-6;221;UCLA;1,577,230
Milwaukee Bucks;0;Xavier Munford;PG;25;6-4;173;Rhode Island;
Milwaukee Bucks;12;Jabari Parker;PF;23;6-8;250;Duke;6,782,392
Milwaukee Bucks;40;Marshall Plumlee;C;25;7-0;250;Duke;
Milwaukee Bucks;21;Tony Snell;SG;26;6-7;221;New Mexico;9,887,640
Milwaukee Bucks;3;Jason Terry;SG;40;6-2;185;Arizona;1,471,382
Milwaukee Bucks;5;D.J. Wilson;PF;22;6-10;236;Michigan;2,135,040
Milwaukee Bucks;44;Tyler Zeller;C;28;7-0;250;North Carolina;1,709,538
Dallas Mavericks;5;J.J. Barea;PG;33;6-0;185;Northeastern;3,903,900
Dallas Mavericks;40;Harrison Barnes;SF;25;6-8;225;North Carolina;23,112,004
Dallas Mavericks;8;Kyle Collinsworth;PG;26;6-6;210;BYU;
Dallas Mavericks;30;Seth Curry;SG;27;6-2;185;Duke;3,028,410
Dallas Mavericks;11;Yogi Ferrell;PG;24;6-0;180;Indiana;1,312,611
Dallas Mavericks;10;Dorian Finney-Smith;SF;24;6-8;220;Florida;1,312,611
Dallas Mavericks;9;Aaron Harrison;SG;23;6-6;210;Kentucky;91,442
Dallas Mavericks;32;Scotty Hopson;SG;28;6-7;230;Tennessee;
Dallas Mavericks;21;Jalen Jones;SF;24;6-7;220;"Texas A&M;";
Dallas Mavericks;42;Maximilian Kleber;PF;26;6-11;220;;815,615
Dallas Mavericks;23;Wesley Matthews;SG;31;6-5;220;Marquette;17,884,176
Dallas Mavericks;20;Doug McDermott;SF;26;6-8;219;Creighton;3,294,994
Dallas Mavericks;50;Salah Mejri;C;31;7-2;235;;1,471,382
Dallas Mavericks;6;Johnathan Motley;PF;22;6-10;230;Baylor;
Dallas Mavericks;3;Nerlens Noel;C;24;6-11;220;Kentucky;4,187,599
Dallas Mavericks;41;Dirk Nowitzki;C;39;7-0;245;;5,000,000
Dallas Mavericks;7;Dwight Powell;C;26;6-11;240;Stanford;9,003,125
Dallas Mavericks;1;Dennis Smith Jr.;PG;20;6-3;195;North Carolina State;3,218,280
Houston Rockets;33;Ryan Anderson;PF;29;6-10;240;California;19,578,455
Houston Rockets;1;Trevor Ariza;SF;32;6-8;215;UCLA;7,420,912
Houston Rockets;28;Tarik Black;PF;26;6-9;250;Kansas;3,290,000
Houston Rockets;26;Markel Brown;SG;26;6-3;190;Oklahoma State;
Houston Rockets;15;Clint Capela;C;23;6-10;240;;2,334,528
Houston Rockets;10;Eric Gordon;SG;29;6-4;215;Indiana;12,943,020
Houston Rockets;14;Gerald Green;SG;32;6-7;205;;872,854
Houston Rockets;13;James Harden;PG;28;6-5;220;Arizona State;28,299,399
Houston Rockets;42;Nene Hilario;C;35;6-11;250;;3,477,600
Houston Rockets;2;R.J. Hunter;SG;24;6-5;185;Georgia State;
Houston Rockets;55;Aaron Jackson;G;31;6-3;183;Duquesne;4,608
Houston Rockets;7;Joe Johnson;SG;36;6-7;240;Arkansas;473,835
Houston Rockets;12;Luc Mbah a Moute;PF;31;6-8;230;UCLA;1,471,382
Houston Rockets;21;Chinanu Onuaku;C;21;6-10;245;Louisville;1,312,611
Houston Rockets;3;Chris Paul;PG;32;6-0;175;Wake Forest;24,599,495
Houston Rockets;9;Zhou Qi;PF;22;7-1;210;;815,615
Houston Rockets;4;PJ Tucker;SF;32;6-6;245;Texas;7,590,035
